gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
FGR,mut,,,,,
FGR,cnv,,,,,
IFI6,mut,,,,,
IFI6,cnv,,,,,
FAM76A,mut,,,,,
FAM76A,cnv,,,,,
STX12,mut,,,,,
STX12,cnv,,,,,
PPP1R8,mut,,,,,
PPP1R8,cnv,,,,,
SCARNA1,mut,,,,,
SCARNA1,cnv,,,,,
THEMIS2,mut,,,,,
THEMIS2,cnv,,,,,
RPA2,mut,,,,,
RPA2,cnv,,,,,
SMPDL3B,mut,,,,,
SMPDL3B,cnv,,,,,
XKR8,mut,,,,,
XKR8,cnv,,,,,
EYA3,mut,,,,,
EYA3,cnv,,,,,
RN7SL559P,mut,,,,,
RN7SL559P,cnv,,,,,
PTAFR,mut,,,,,
PTAFR,cnv,,,,,
DNAJC8,mut,,,,,
DNAJC8,cnv,,,,,
ATPIF1,mut,,,,,
ATPIF1,cnv,,,,,
SESN2,mut,,,,,
SESN2,cnv,,,,,
MED18,mut,,,,,
MED18,cnv,,,,,
PHACTR4,mut,,,,,
PHACTR4,cnv,,,,,
RNU6ATAC27P,mut,,,,,
RNU6ATAC27P,cnv,,,,,
RCC1,mut,,,,,
RCC1,cnv,,,,,
SNHG3,mut,,,,,
SNHG3,cnv,,,,,
SNORA73B,mut,,,,,
SNORA73B,cnv,,,,,
TRNAU1AP,mut,,,,,
TRNAU1AP,cnv,,,,,
SNHG12,mut,,,,,
SNHG12,cnv,,,,,
