gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
ANK3,mut,,,,,
ANK3,cnv,,,,,
ANKAR,mut,,,,,
ANKAR,cnv,,,,,
ANKH,mut,,,,,
ANKH,cnv,,,,,
ANKHD1,mut,,,,,
ANKHD1,cnv,,,,,
ANKIB1,mut,,,,,
ANKIB1,cnv,,,,,
ANKK1,mut,,,,,
ANKK1,cnv,,,,,
ANKMY1,mut,,,,,
ANKMY1,cnv,,,,,
ANKMY2,mut,,,,,
ANKMY2,cnv,,,,,
ANKRA2,mut,,,,,
ANKRA2,cnv,,,,,
ANKRD1,mut,,,,,
ANKRD1,cnv,,,,,
ANKRD13C,mut,,,,,
ANKRD13C,cnv,,,,,
ANKRD13D,mut,,,,,
ANKRD13D,cnv,,,,,
ANKRD17,mut,,,,,
ANKRD17,cnv,,,,,
ANKRD2,mut,,,,,
ANKRD2,cnv,,,,,
ANKRD20A1,mut,,,,,
ANKRD20A1,cnv,,,,,
ANKRD20A4,mut,,,,,
ANKRD20A4,cnv,,,,,
ANKRD22,mut,,,,,
ANKRD22,cnv,,,,,
ANKRD23,mut,,,,,
ANKRD23,cnv,,,,,
ANKRD26,mut,,,,,
ANKRD26,cnv,,,,,
ANKRD28,mut,,,,,
ANKRD28,cnv,,,,,
ANKRD30A,mut,,,,,
ANKRD30A,cnv,,,,,
ANKRD32,mut,,,,,
ANKRD32,cnv,,,,,
ANKRD34B,mut,,,,,
ANKRD34B,cnv,,,,,
ANKRD35,mut,,,,,
ANKRD35,cnv,,,,,
ANKRD37,mut,,,,,
ANKRD37,cnv,,,,,
ANKRD42,mut,,,,,
ANKRD42,cnv,,,,,
ANKRD44,mut,,,,,
ANKRD44,cnv,,,,,
ANKRD45,mut,,,,,
ANKRD45,cnv,,,,,
ANKRD49,mut,,,,,
ANKRD49,cnv,,,,,
ANKRD50,mut,,,,,
ANKRD50,cnv,,,,,
ANKRD53,mut,,,,,
ANKRD53,cnv,,,,,
ANKRD55,mut,,,,,
ANKRD55,cnv,,,,,
ANKRD6,mut,,,,,
ANKRD6,cnv,,,,,
ANKS1A,mut,,,,,
ANKS1A,cnv,,,,,
ANKS6,mut,,,,,
ANKS6,cnv,,,,,
ANKZF1,mut,,,,,
ANKZF1,cnv,,,,,
ANLN,mut,,,,,
ANLN,cnv,,,,,
ANO1,mut,,,,,
ANO1,cnv,,,,,
ANO10,mut,,,,,
ANO10,cnv,,,,,
ANO3,mut,,,,,
ANO3,cnv,,,,,
ANO5,mut,,,,,
ANO5,cnv,,,,,
ANO7,mut,,,,,
ANO7,cnv,,,,,
ANO9,mut,,,,,
ANO9,cnv,,,,,
ANP32B,mut,,,,,
ANP32B,cnv,,,,,
ANP32E,mut,,,,,
ANP32E,cnv,,,,,
ANTXR1,mut,,,,,
ANTXR1,cnv,,,,,
ANTXR2,mut,,,,,
ANTXR2,cnv,,,,,
ANXA1,mut,,,,,
ANXA1,cnv,,,,,
ANXA10,mut,,,,,
ANXA10,cnv,,,,,
ANXA11,mut,,,,,
ANXA11,cnv,,,,,
ANXA13,mut,,,,,
ANXA13,cnv,,,,,
ANXA3,mut,,,,,
ANXA3,cnv,,,,,
ANXA4,mut,,,,,
ANXA4,cnv,,,,,
ANXA5,mut,,,,,
ANXA5,cnv,,,,,
ANXA6,mut,,,,,
ANXA6,cnv,,,,,
ANXA7,mut,,,,,
ANXA7,cnv,,,,,
ANXA9,mut,,,,,
ANXA9,cnv,,,,,
AOAH,mut,,,,,
AOAH,cnv,,,,,
AOX1,mut,,,,,
AOX1,cnv,,,,,
AP1AR,mut,,,,,
AP1AR,cnv,,,,,
AP1S1,mut,,,,,
AP1S1,cnv,,,,,
AP1S3,mut,,,,,
AP1S3,cnv,,,,,
AP2A2,mut,,,,,
AP2A2,cnv,,,,,
AP2M1,mut,,,,,
AP2M1,cnv,,,,,
AP3B1,mut,,,,,
AP3B1,cnv,,,,,
AP3M1,mut,,,,,
AP3M1,cnv,,,,,
AP3M2,mut,,,,,
AP3M2,cnv,,,,,
AP4B1,mut,,,,,
AP4B1,cnv,,,,,
AP4M1,mut,,,,,
AP4M1,cnv,,,,,
APBA1,mut,,,,,
APBA1,cnv,,,,,
APBB1,mut,,,,,
APBB1,cnv,,,,,
APBB1IP,mut,,,,,
APBB1IP,cnv,,,,,
APBB2,mut,,,,,
APBB2,cnv,,,,,
APBB3,mut,,,,,
APBB3,cnv,,,,,
APC,mut,,,,,
APC,cnv,,,,,
APCS,mut,,,,,
APCS,cnv,,,,,
APEH,mut,,,,,
APEH,cnv,,,,,
API5,mut,,,,,
API5,cnv,,,,,
APLF,mut,,,,,
APLF,cnv,,,,,
APLNR,mut,,,,,
APLNR,cnv,,,,,
APOA1BP,mut,,,,,
APOA1BP,cnv,,,,,
APOA4,mut,,,,,
APOA4,cnv,,,,,
APOA5,mut,,,,,
APOA5,cnv,,,,,
APOB,mut,,,,,
APOB,cnv,,,,,
APOBEC2,mut,,,,,
APOBEC2,cnv,,,,,
APOBEC4,mut,,,,,
APOBEC4,cnv,,,,,
APOC3,mut,,,,,
APOC3,cnv,,,,,
APOD,mut,,,,,
APOD,cnv,,,,,
APPL1,mut,,,,,
APPL1,cnv,,,,,
APTX,mut,,,,,
APTX,cnv,,,,,
AQP1,mut,,,,,
AQP1,cnv,,,,,
AQP10,mut,,,,,
AQP10,cnv,,,,,
AQP12B,mut,,,,,
AQP12B,cnv,,,,,
AQP3,mut,,,,,
AQP3,cnv,,,,,
AQPEP,mut,,,,,
AQPEP,cnv,,,,,
AR,mut,,,,,
AR,cnv,,,,,
ARAP1,mut,,,,,
ARAP1,cnv,,,,,
ARAP2,mut,,,,,
ARAP2,cnv,,,,,
ARAP3,mut,,,,,
ARAP3,cnv,,,,,
ARC,mut,,,,,
ARC,cnv,,,,,
ARCN1,mut,,,,,
ARCN1,cnv,,,,,
AREG,mut,,,,,
AREG,cnv,,,,,
ARF1,mut,,,,,
ARF1,cnv,,,,,
ARF5,mut,,,,,
ARF5,cnv,,,,,
ARFGAP2,mut,,,,,
ARFGAP2,cnv,,,,,
ARFGEF1,mut,,,,,
ARFGEF1,cnv,,,,,
ARFIP2,mut,,,,,
ARFIP2,cnv,,,,,
ARG1,mut,,,,,
ARG1,cnv,,,,,
ARGFX,mut,,,,,
ARGFX,cnv,,,,,
ARHGAP1,mut,,,,,
ARHGAP1,cnv,,,,,
ARHGAP10,mut,,,,,
ARHGAP10,cnv,,,,,
ARHGAP12,mut,,,,,
ARHGAP12,cnv,,,,,
ARHGAP15,mut,,,,,
ARHGAP15,cnv,,,,,
ARHGAP18,mut,,,,,
ARHGAP18,cnv,,,,,
ARHGAP19,mut,,,,,
ARHGAP19,cnv,,,,,
ARHGAP20,mut,,,,,
ARHGAP20,cnv,,,,,
ARHGAP21,mut,,,,,
ARHGAP21,cnv,,,,,
ARHGAP22,mut,,,,,
ARHGAP22,cnv,,,,,
ARHGAP24,mut,,,,,
ARHGAP24,cnv,,,,,
ARHGAP25,mut,,,,,
ARHGAP25,cnv,,,,,
ARHGAP26,mut,,,,,
ARHGAP26,cnv,,,,,
ARHGAP29,mut,,,,,
ARHGAP29,cnv,,,,,
ARHGAP30,mut,,,,,
ARHGAP30,cnv,,,,,
ARHGAP31,mut,,,,,
ARHGAP31,cnv,,,,,
ARHGAP39,mut,,,,,
ARHGAP39,cnv,,,,,
ARHGEF10,mut,,,,,
ARHGEF10,cnv,,,,,
ARHGEF10L,mut,,,,,
ARHGEF10L,cnv,,,,,
ARHGEF11,mut,,,,,
ARHGEF11,cnv,,,,,
ARHGEF16,mut,,,,,
ARHGEF16,cnv,,,,,
ARHGEF17,mut,,,,,
ARHGEF17,cnv,,,,,
